Filename,ID,Feature,Manual,Automated
C1,1,Eccentricity,0.473671,0.675059
C1,1,Circularity,0.960115,0.869700
C1,1,X,345.903509,343.853868
C1,1,Y,154.991228,155.799427
C1,2,Area,2723.000000,3428.000000
C1,2,Perimeter,204.409163,266.007143
C1,2,Solidity,0.971459,0.907599
C1,2,Eccentricity,0.747363,0.828684
C1,2,Circularity,0.818949,0.608785
C1,2,X,412.430775,411.345974
C1,2,Y,211.524789,216.552509
C1,3,Area,592.000000,682.000000
C1,3,Perimeter,91.840620,97.396970
C1,3,Solidity,0.954839,0.970128
C1,3,Eccentricity,0.551089,0.490550
C1,3,Circularity,0.881987,0.903448
C1,3,X,315.951014,315.621701
C1,3,Y,209.380068,209.825513
C1,4,Area,415.000000,472.000000
C1,4,Perimeter,73.112698,78.769553
C1,4,Solidity,0.974178,0.967213
C1,4,Eccentricity,0.463485,0.505843
C1,4,Circularity,0.975601,0.955950
C1,4,X,306.303614,306.470339
C1,4,Y,300.990361,301.171610
C1,5,Area,454.000000,600.000000
C1,5,Perimeter,79.597980,89.012193
C1,5,Solidity,0.953782,0.970874
C1,5,Eccentricity,0.268600,0.359530
C1,5,Circularity,0.900454,0.951617
C1,5,X,18.995595,19.566667
C1,5,Y,312.995595,312.201667
C1,6,Area,223.000000,368.000000
C1,6,Perimeter,52.284271,69.355339
C1,6,Solidity,0.982379,0.965879
C1,6,Eccentricity,0.489322,0.462899
C1,6,Circularity,1.025115,0.961386
C1,6,X,219.224215,218.711957
C1,6,Y,315.511211,314.891304
C1,7,Area,376.000000,475.000000
C1,7,Perimeter,70.183766,79.597980
C1,7,Solidity,0.966581,0.967413
C1,7,Eccentricity,0.580630,0.485952
C1,7,Circularity,0.959234,0.942105
C1,7,X,273.388298,273.004211
C1,7,Y,340.789894,340.370526
C1,8,Area,381.000000,553.000000
C1,8,Perimeter,73.355339,85.012193
C1,8,Solidity,0.959698,0.978761
C1,8,Eccentricity,0.708419,0.515565
C1,8,Circularity,0.889757,0.961552
C1,8,X,59.650919,60.332731
C1,8,Y,420.960630,420.379747
C1,9,Area,1002.000000,715.000000
C1,9,Perimeter,122.225397,99.497475
C1,9,Solidity,0.950664,0.968835
C1,9,Eccentricity,0.704504,0.579170
C1,9,Circularity,0.842859,0.907594
C1,9,X,483.279441,484.535664
C1,9,Y,469.095808,467.804196
C2,0,Area,228.000000,285.000000
C2,0,Perimeter,56.384776,66.041631
