Gemcitabine Dosage (nM), Replicate, Time (hr), Organoid ID, Masked fluorescence, Area, Circularity
0,2,16,21,565,532,0.866281
0,2,16,22,508,584,0.868588
0,2,16,23,1104,884,0.838496
0,2,16,24,694,720,0.847134
0,2,16,25,1429,1684,0.867087
0,2,16,26,2129,2048,0.682414
0,2,16,27,1607,636,0.871104
0,2,16,28,2746,2508,0.867394
0,2,16,29,1502,1880,0.851890
0,2,16,31,1639,2092,0.710874
0,2,16,33,666,616,0.865734
0,2,16,37,393,528,0.881701
0,2,20,1,4857,5164,0.839431
0,2,20,2,6649,6104,0.856932
0,2,20,3,2019,1968,0.824932
0,2,20,4,3232,2872,0.863197
0,2,20,6,5147,4096,0.877665
0,2,20,7,2870,3216,0.701163
0,2,20,8,5466,3256,0.827418
0,2,20,10,5245,4508,0.843637
0,2,20,11,2748,2680,0.778465
0,2,20,12,2487,2004,0.860792
0,2,20,13,2287,2266,0.851897
0,2,20,14,1481,1554,0.857630
0,2,20,15,2336,2212,0.872844
0,2,20,16,2714,2572,0.838143
0,2,20,17,14817,10020,0.695790
0,2,20,18,800,724,0.873372
0,2,20,20,1898,2380,0.829737
0,2,20,22,449,484,0.882369
0,2,20,23,1688,1340,0.848463
0,2,20,24,724,712,0.844239
0,2,20,25,1464,1640,0.868178
0,2,20,26,1058,948,0.857500
0,2,20,27,2008,816,0.847701
0,2,20,28,3229,2808,0.851922
0,2,20,29,1700,2056,0.875485
0,2,20,30,930,500,0.869025
0,2,20,31,1835,2248,0.654907
0,2,20,33,537,472,0.853701
0,2,20,34,488,520,0.908574
0,2,20,36,1273,1332,0.832781
0,2,20,37,407,524,0.861309
0,2,20,38,1676,1680,0.732776
0,2,20,39,1019,1032,0.906272
0,2,24,1,4888,5296,0.868448
0,2,24,2,6144,5388,0.844955
0,2,24,3,1731,1692,0.826497
0,2,24,4,3304,3028,0.859659
0,2,24,6,5786,4684,0.853077
0,2,24,7,2761,3124,0.682358
0,2,24,8,6997,4532,0.842381
0,2,24,10,5185,4400,0.847675
0,2,24,11,2674,2512,0.830578
