Time,ID,Area
48,21,1403.769800
48,23,3816.606400
48,24,2196.608000
48,25,2018.133600
48,26,9266.940000
48,28,2224.065600
48,30,1880.845600
48,33,8731.516800
48,35,2388.811200
48,37,1366.015600
48,39,899.236400
48,40,700.168800
48,41,779.109400
50,1,24608.874000
50,2,19659.641600
50,3,11998.971200
50,4,8202.958000
50,5,4063.724800
50,6,12911.936400
50,7,8930.584400
50,8,5817.579000
50,9,6363.298800
50,10,13313.503800
50,11,4770.758000
50,12,1414.066400
50,14,1194.405600
50,15,3720.504800
50,16,5779.824800
50,17,1324.829200
50,18,5107.113600
50,19,5429.740400
50,20,2251.523200
50,21,1486.142600
50,23,4489.317600
50,24,2079.913200
50,25,2127.964000
50,26,9040.414800
50,28,2738.895600
50,33,8889.398000
50,35,1860.252400
50,37,1771.015200
50,39,1681.778000
50,41,954.151600
52,1,24777.051800
52,2,19954.810800
52,3,11937.191600
52,4,7221.348800
52,5,3603.810000
52,6,12946.258400
52,7,8882.533600
52,8,6140.205800
52,9,6733.976400
52,10,14710.409200
52,11,5017.876400
52,12,3734.233600
52,14,1571.947600
52,15,3947.030000
52,16,5017.876400
52,17,1105.168400
52,18,4811.944400
52,19,5649.401200
52,20,1764.150800
52,21,1039.956600
52,23,5038.469600
52,24,2073.048800
52,25,2526.099200
52,26,9617.024400
52,28,2395.675600
52,33,9012.957200
52,35,1304.236000
52,37,1544.490000
52,39,1489.574800
52,41,1269.914000
54,1,24656.924800
54,2,19762.607600
54,3,11717.530800
54,4,7379.230000
54,6,13351.258000
54,7,8175.500400
54,8,6576.095200
54,9,6884.993200
54,10,16364.729600
54,11,5031.605200
54,12,1619.998400
54,14,1434.659600
54,15,4406.944800
54,16,2505.506000
54,17,1063.982000
54,18,5992.621200
54,19,6404.485200
54,20,1585.676400
54,21,1146.354800
54,23,4859.995200
54,24,2244.658800
54,25,782.541600
54,26,9314.990800
54,28,1963.218400
54,30,1565.083200
54,33,8601.093200
54,35,1729.828800
54,37,1709.235600
54,39,1853.388000
54,41,1060.549800
56,1,27680.693000
56,2,18664.303600
56,3,11278.209200
56,4,8958.042000
56,6,14442.697600
56,7,8875.669200
56,8,6534.908800
56,9,8855.076000
56,10,18375.998800
56,11,5244.401600
56,12,1743.557600
56,14,2100.506400
56,15,5271.859200
56,16,5917.112800
56,17,1331.693600
56,18,7015.416800
56,19,7468.467200
56,20,1558.218800
56,21,1479.278200
56,23,4015.674000
56,24,2924.234400
56,25,6747.705200
56,26,8017.619200
56,28,3205.674800
56,30,1935.760800
56,33,9953.380000
56,34,4152.962000
56,35,2773.217600
56,37,2024.998000
56,39,2436.862000
56,41,1400.337600
56,42,809.999200
58,1,28840.776600
58,2,19275.235200
58,3,11456.683600
58,4,9191.431600
58,5,11621.429200
58,6,14264.223200
58,7,9239.482400
58,8,5587.621600
58,9,8017.619200
58,10,22528.960800
58,11,5347.367600
58,12,1235.592000
58,14,2889.912400
58,15,5264.994800
58,16,6768.298400
58,17,1366.015600
58,18,6562.366400
58,19,7331.179200
58,20,1366.015600
58,21,1468.981600
58,23,5093.384800
58,24,3082.115600
58,25,3246.861200
58,26,11497.870000
58,28,2388.811200
58,30,1928.896400
58,33,10632.955600
58,35,2896.776800
58,37,1819.066000
58,39,1029.660000
58,41,943.855000
58,43,9678.804000
58,44,686.440000
60,1,43032.923600
60,2,19419.387600
60,3,12225.496400
60,4,9445.414400
60,5,12287.276000
60,6,14696.680400
60,7,8978.635200
60,8,5419.443800
60,9,9544.948200
60,10,23915.569600
60,11,5821.011200
60,12,2581.014400
60,14,3233.132400
60,15,4997.283200
60,17,1112.032800
60,18,5759.231600
60,19,7626.348400
60,20,1764.150800
60,21,1619.998400
60,23,5065.927200
60,24,3013.471600
60,25,4702.114000
60,28,2999.742800
60,30,2244.658800
60,33,11648.886800
60,35,3109.573200
60,37,2388.811200
60,39,1414.066400
60,41,1280.210600
60,43,19220.320000
60,44,696.736600
60,45,864.914400
62,1,43331.525000
62,2,20346.081600
62,3,12259.818400
62,4,8820.754000
62,5,11799.903600
62,6,15829.306400
62,7,8903.126800
62,8,4060.292600
62,9,8378.000200
62,10,23548.324200
62,11,5889.655200
62,12,2052.455600
62,14,3130.166400
62,15,5189.486400
62,16,7804.822800
62,17,1276.778400
62,18,4585.419200
62,19,8148.042800
62,20,1523.896800
62,21,1431.227400
62,23,5347.367600
62,24,4338.300800
62,25,4269.656800
62,28,2766.353200
62,30,1908.303200
62,33,11243.887200
62,35,3439.064400
62,37,2759.488800
62,39,1585.676400
62,41,1211.566600
62,43,8093.127600
62,44,720.762000
62,45,1722.964400
62,46,1036.524400
64,1,45737.497200
64,2,21238.453600
64,3,13145.326000
64,4,8964.906400
64,5,12184.310000
64,6,16680.492000
64,7,8807.025200
64,8,4489.317600
64,9,8439.779800
64,10,25583.618800
64,11,6960.501600
64,12,2011.269200
64,14,3329.234000
64,15,5759.231600
64,16,16330.407600
64,17,1475.846000
64,18,5367.960800
64,19,9033.550400
64,20,1180.676800
64,21,1716.100000
64,23,5807.282400
64,24,4770.758000
64,25,6613.849400
64,28,2622.200800
64,30,2773.217600
64,33,11539.056400
64,34,1214.998800
64,35,3219.403600
64,37,3301.776400
64,39,2127.964000
64,40,1242.456400
64,41,1506.735800
64,44,720.762000
64,45,3082.115600
64,47,858.050000
66,1,40445.044800
66,2,22659.384400
66,3,12932.529600
66,4,9266.940000
66,5,12541.258800
66,6,17298.288000
66,7,9314.990800
66,8,4921.774800
66,9,7585.162000
66,10,26352.431600
66,11,7001.688000
66,12,3768.555600
66,14,3741.098000
66,15,5127.706800
66,16,7914.653200
66,17,1688.642400
66,18,6637.874800
66,19,9658.210800
66,20,858.050000
66,21,1771.015200
66,23,5958.299200
66,24,5223.808400
66,25,6661.900200
66,28,2553.556800
66,30,3521.437200
66,33,13584.647600
66,34,4036.267200
66,35,4386.351600
66,37,3109.573200
66,39,2615.336400
66,40,1613.134000
66,41,1513.600200
66,43,10310.328800
66,44,854.617800
66,45,3432.200000
66,47,1070.846400
68,1,40060.638400
68,2,22281.842400
68,3,13056.088800
68,4,8539.313600
68,5,12589.309600
68,6,17799.389200
68,7,10221.091600
68,8,4743.300400
68,9,6476.561400
68,10,21828.792000
68,11,7022.281200
68,12,2828.132800
68,14,3905.843600
68,15,4908.046000
68,16,7791.094000
68,17,1393.473200
68,18,7825.416000
68,19,10310.328800
68,21,1843.091400
68,23,6479.993600
68,24,5216.944000
68,25,6246.604000
68,28,1990.676000
68,30,3432.200000
68,33,13186.512400
68,35,3548.894800
68,37,3576.352400
68,39,2581.014400
68,40,1235.592000
68,41,1523.896800
68,43,9136.516400
68,44,930.126200
68,45,3020.336000
68,47,741.355200
70,1,40259.706000
70,2,22638.791200
70,3,12877.614400
70,4,9919.058000
70,5,11793.039200
70,6,17936.677200
70,7,9328.719600
70,8,5203.215200
70,9,5361.096400
70,10,14243.630000
70,11,6802.620400
70,12,2333.896000
70,14,3940.165600
70,15,5464.062400
70,17,1366.015600
70,18,7928.382000
70,19,10790.836800
70,21,2217.201200
70,23,6116.180400
70,24,5354.232000
70,25,4386.351600
70,28,2635.929600
70,30,3377.284800
70,33,8402.025600
70,34,858.050000
70,35,3521.437200
70,37,3054.658000
70,39,2423.133200
70,43,17325.745600
70,44,834.024600
70,45,3027.200400
70,47,816.863600
70,48,3219.403600
72,1,42411.695400
72,2,24471.586000
72,3,12699.140000
72,4,11415.497200
72,5,12088.208400
72,6,18650.574800
72,7,9198.296000
72,8,7849.441400
72,9,5148.300000
72,10,17981.295800
72,11,6706.518800
72,12,3027.200400
72,14,3823.470800
72,15,5642.536800
72,17,1489.574800
72,18,9452.278800
72,19,11889.140800
72,21,2711.438000
72,23,9527.787200
72,24,5086.520400
72,25,5141.435600
72,28,3528.301600
72,30,3480.250800
72,33,9088.465600
72,34,1208.134400
72,35,3947.030000
72,37,3130.166400
72,43,20771.674400
72,44,737.923000
72,45,3205.674800
72,48,2615.336400
74,1,43736.524600
74,2,34864.287600
74,4,9356.177200
74,5,12266.682800
74,6,18616.252800
74,7,9328.719600
74,8,8556.474600
74,9,4976.690000
74,10,21770.444600
74,11,6191.688800
74,12,2169.150400
74,14,2395.675600
74,15,5395.418400
74,17,1077.710800
74,18,8230.415600
74,19,12273.547200
74,20,713.897600
74,21,2810.971800
74,23,12369.648800
74,24,3981.352000
74,25,5470.926800
74,28,4297.114400
74,30,3686.182800
74,33,6672.196800
74,35,3260.590000
74,37,3253.725600
74,43,21183.538400
74,44,737.923000
74,45,3535.166000
74,48,2793.810800
76,1,49296.688600
76,2,38584.792400
76,4,9987.702000
76,5,12465.750400
76,6,20105.827600
76,7,9802.363200
76,8,10234.820400
76,9,5769.528200
76,10,15585.620200
76,11,6775.162800
76,12,3054.658000
76,14,2299.574000
76,15,5601.350400
76,17,844.321200
76,18,8882.533600
76,19,11477.276800
76,20,768.812800
76,21,2690.844800
76,23,13550.325600
76,24,4708.978400
76,25,5254.698200
76,28,3686.182800
76,30,3720.504800
76,33,11099.734800
76,34,1846.523600
76,35,3377.284800
76,37,3384.149200
76,41,974.744800
76,43,21341.419600
76,44,823.728000
76,45,3569.488000
76,49,1077.710800
78,1,46904.445200
78,2,37019.709200
78,3,15273.290000
78,5,11813.632400
78,6,21547.351600
78,7,10138.718800
78,8,10660.413200
78,9,5567.028400
78,10,21104.597800
78,11,6679.061200
78,12,2265.252000
78,14,2093.642000
78,15,5903.384000
78,17,1187.541200
78,18,9184.567200
78,19,11744.988400
78,20,1228.727600
78,21,2399.107800
78,23,14305.409600
78,24,4283.385600
78,25,5875.926400
78,28,1736.693200
78,30,3747.962400
78,33,11985.242400
78,35,3219.403600
78,37,4070.589200
78,41,2457.455200
78,43,21259.046800
78,44,878.643200
78,45,4180.419600
78,48,1976.947200
80,1,46348.428800
80,2,26750.566800
80,3,14799.646400
80,4,1764.150800
80,5,12452.021600
80,6,22069.046000
80,7,9822.956400
80,8,11199.268600
80,9,5319.910000
80,10,25333.068200
80,11,6898.722000
80,12,4702.114000
80,14,2848.726000
80,15,6095.587200
80,18,9706.261600
80,19,8196.093600
80,21,2852.158200
80,23,12808.970400
80,24,4434.402400
80,25,6377.027600
80,28,1359.151200
80,30,3747.962400
80,33,15094.815600
80,35,2045.591200
80,37,4345.165200
80,43,16838.373200
80,45,4228.470400
82,1,45449.192400
82,2,26798.617600
82,3,14909.476800
82,4,9445.414400
82,5,12143.123600
82,6,21677.775200
82,7,11346.853200
82,8,12407.403000
82,9,5803.850200
82,10,28830.480000
82,11,6809.484800
82,12,2429.997600
82,14,2196.608000
82,15,6418.214000
82,18,10330.922000
82,19,8738.381200
82,21,3068.386800
82,23,6603.552800
82,24,4564.826000
82,25,6452.536000
82,28,1922.032000
82,30,4372.622800
82,33,17696.423200
82,35,2086.777600
82,37,3919.572400
82,39,1228.727600
82,43,17263.966000
82,44,761.948400
82,45,3926.436800
84,1,46242.030600
84,2,27505.650800
84,3,13989.647200
84,4,10351.515200
84,5,10729.057200
84,6,22062.181600
84,7,12369.648800
84,8,12541.258800
84,9,6112.748200
84,10,31366.875800
84,11,6074.994000
84,12,2203.472400
84,14,1935.760800
84,15,6926.179600
84,17,906.100800
84,18,10955.582400
84,19,9781.770000
84,20,851.185600
84,21,2711.438000
84,23,5539.570800
84,24,4901.181600
84,25,6905.586400
84,28,2004.404800
84,30,4482.453200
84,33,17112.949200
84,35,3301.776400
84,37,4111.775600
84,39,1674.913600
84,43,19639.048400
84,44,775.677200
84,45,3391.013600
84,48,1777.879600
84,50,981.609200
86,1,46722.538600
86,2,36024.371200
86,3,14504.477200
86,5,10516.260800
86,6,22309.300000
86,7,12702.572200
86,8,11600.836000
86,9,6744.273000
86,10,33501.704200
86,11,5100.249200
86,12,2464.319600
86,14,3150.759600
86,15,6926.179600
86,16,6514.315600
86,17,707.033200
86,18,10598.633600
86,19,9692.532800
86,21,2275.548600
86,23,5402.282800
86,24,4633.470000
86,25,5663.130000
86,28,2478.048400
86,30,4063.724800
86,33,17401.254000
86,35,4393.216000
86,37,3782.284400
86,39,1420.930800
86,41,2450.590800
86,43,19083.032000
86,44,885.507600
86,45,3404.742400
86,48,748.219600
86,51,1112.032800
88,1,47985.588200
88,2,31445.816400
88,3,14408.375600
88,5,1990.676000
88,6,22528.960800
88,7,11600.836000
88,8,10777.108000
88,9,7458.170600
88,10,36120.472800
88,11,4983.554400
88,12,899.236400
88,14,4029.402800
88,15,7701.856800
88,16,6473.129200
88,17,885.507600
88,18,11539.056400
88,19,10124.990000
88,21,3068.386800
88,23,11058.548400
88,24,4777.622400
88,25,1729.828800
88,28,2773.217600
88,30,4468.724400
88,33,17778.796000
88,34,1530.761200
88,35,4695.249600
88,37,3679.318400
88,43,10825.158800
88,44,703.601000
88,45,2361.353600
88,52,768.812800
90,1,47930.673000
90,2,24485.314800
90,3,13605.240800
90,4,1462.117200
90,5,4379.487200
90,6,23634.129200
90,7,13035.495600
90,8,9747.448000
90,9,7211.052200
90,10,39442.842400
90,11,4626.605600
90,12,2677.116000
90,14,4509.910800
90,15,8244.144400
90,16,5649.401200
90,17,1208.134400
90,18,10619.226800
90,19,11545.920800
90,21,3267.454400
90,23,10866.345200
90,24,4757.029200
90,25,3054.658000
90,28,2718.302400
90,30,4406.944800
90,33,12712.868800
90,34,2732.031200
90,35,5011.012000
90,37,4180.419600
90,41,796.270400
90,43,15705.747200
90,44,768.812800
90,45,2148.557200
90,50,1002.202400
90,52,768.812800
92,1,46104.742600
92,2,34816.236800
92,3,12980.580400
92,5,947.287200
92,6,24945.229600
92,7,13749.393200
92,8,9534.651600
92,9,6802.620400
92,10,42542.119000
92,11,4805.080000
92,12,2986.014000
92,14,4832.537600
92,15,9047.279200
92,16,6425.078400
92,17,1372.880000
92,18,8093.127600
92,19,11854.818800
92,21,3370.420400
92,23,8251.008800
92,24,4914.910400
92,25,1647.456000
92,28,3425.335600
92,30,4866.859600
92,33,13914.138800
92,34,3013.471600
92,35,5512.113200
92,37,4791.351200
92,39,2093.642000
92,43,19920.488800
92,44,731.058600
92,45,1681.778000
92,52,1070.846400
92,53,720.762000
